sample_id,source_text,reference_translation,fp32_translation,int8_translation,fp32_output_tokens,int8_output_tokens,delta_output_tokens,fp32_chrf,int8_chrf,delta_chrf,seq_loss_hyp,length_group
common_voice_de_19765160,Sie wurden wie Türklinken an dem Werk angebracht.,They were attached to the work like doorknobs.,They were attached to the work like doorknobs.,They were attached to the work like door handles.,15,12,3,100.0,83.26571401304406,16.73428598695594,0.627044141292572,INT8 shorter
common_voice_de_18668634,"Was die Zahlungsmoral angeht, schweigt er lieber.",He prefers to remain mum when it comes to payment practice.,He prefers to keep quiet about the morale of payment.,He prefers to keep quiet about payment standards.,15,12,3,34.6102814438617,34.07492098945633,0.535360454405371,0.7064697742462158,INT8 shorter
common_voice_de_19161700,"Manches aber gerate ihm überspitzt und salopp, worunter die Zuverlässigkeit leide.","Some of it turns out to be exaggerated and casual, which undermines his reliability.","But there are many things that overwhelm him, and they are saloped, which are a source of reliability.",But there are many things that overwhelm him and make him feel good about the reliability of it.,27,23,4,30.82009051469453,26.450083887909788,4.370006626784743,1.3245832920074463,INT8 shorter
common_voice_de_19658785,Bis heute ist der Verbleib einiger der Geldmittel des Vereins unklar.,Until today some of the club's funds remain unclear.,"To this day, the existence of some of the club's funds is unclear.","To this day, some of the association's funds remain unclear.",19,16,3,57.33249744453977,62.21339118373973,-4.880893739199962,0.5758424997329712,INT8 shorter
common_voice_de_19154490,"Für die Produktion ""Der blaue Planet"" der Gruppe Karat leitete er die beteiligte Streichergruppe.","For production of ‘‘The Blue Planet’’ of the band Karat, he directed the affiliated string group.","For the production ""Der blaue Planet"" of the group Karat he led the involved string group.","For the production ""The Blue Planet"" of the group Karat he led the string group involved.",25,22,3,43.024781542223344,44.69139099979628,-1.6666094575729389,0.5093207359313965,INT8 shorter
common_voice_de_19757635,"Auch dieser Gang war mit bemalten Reliefs dekoriert, die hier unter anderem Jagdszenen darstellten.","The aisle was also decorated with painted reliefs, which depicted hunting scenes.","This passage was also decorated with painted reliefs, which represented hunting scenes, among other things.","This passage was also decorated with painted reliefs, which included hunting scenes.",21,17,4,73.10281735467372,77.99929297464084,-4.89647561996712,0.5058116316795349,INT8 shorter
common_voice_de_18421245,Daraufhin hat der Rottweiler einen Fußgänger angefallen.,As a result a Rottweiler attacked a pedestrian.,"As a result, the Rottweiler attacked a pedestrian.",The Rottweiler then attacked a pedestrian.,14,11,3,86.78081705801637,63.48568103466854,23.29513602334783,0.47210001945495605,INT8 shorter
common_voice_de_18194862,"Ob sie das schaffen werden?, stellt Waldemar das Vorhaben infrage.",Will they make it?” Waldemar questions the project.,"Will they be able to do that?, Waldemar questions the project.","Will they do so?, Waldemar questions the project.",18,15,3,71.30032587848697,73.88087022141714,-2.5805443429301675,0.7299938797950745,INT8 shorter
common_voice_de_18184857,"Ich wische jetzt die Tafel, währenddessen könnt ihr reden.",I will clean the table now in the mean time you can talk.,"I'm wiping the board now, and you can talk during that.","I'll wipe the board now, but you can talk.",18,15,3,29.771238804968984,31.42269802657904,-1.6514592216100574,0.7399619817733765,INT8 shorter
common_voice_de_19129952,Der Ortsname leitet sich von einem gleichlautenden Flurnamen ab.,The name of the place derives from the meadow of the same name.,The name of the village derives from the same name.,==References====External links==* Official website,14,10,4,66.97427938961512,7.246421283410428,59.72785810620469,0.6910359859466553,INT8 shorter
common_voice_de_19777149,Titelverteidigerin Venus Williams gewann das Dameneinzel.,Defending champion Venus Williams won the women’s singles.,Venus Williams won the women's single.,Venus Williams won the single.,11,8,3,55.78809158467335,47.44712182651775,8.340969758155602,0.642206609249115,INT8 shorter
common_voice_de_19697224,Das Doppel konnten Wesley Moodie und Todd Perry für sich entscheiden.,Wesley Moodie and Todd Perry were the winners of the doubles.,Wesley Moodie and Todd Perry were able to win the double.,Wesley Moodie and Todd Perry won the double.,18,15,3,66.9787090438882,60.71448228961523,6.264226754272968,0.5648683905601501,INT8 shorter
common_voice_de_18364890,Das Bewässerungssystem darf maximal eine Woche lang ausfallen.,The irrigation system failure should maximally last a week.,The irrigation system may fail for a maximum of one week.,The irrigation system may not exceed one week.,14,11,3,49.40209650533281,43.73964431879581,5.662452186536996,0.5003932118415833,INT8 shorter
common_voice_de_19740991,An ihn erinnert in Düsseldorf heute noch die „Gustav-Poensgen-Straße“.,Also the ‘‘Gustav-Poensgen Street’’ in Düsseldorf reminds of him.,"In Düsseldorf, the ""Gustav-Poensgen-Straße"" still reminds of him.",==References====External links==* Official website,25,10,15,58.19789487945697,6.3762638965110146,51.821630982945955,0.7459821701049805,INT8 shorter
common_voice_de_20000920,Die südlichen Kreise Ostwestfalens liegen im Bezirk des Landgerichts Paderborn.,The southern districts of East Westphalia are under the jurisdiction of the district court of Paderborn.,The southern districts of East Westphalia are located in the district of the Paderborn District Court.,The southern districts of East Westphalia are located in the district of Paderborn.,22,19,3,67.15466086603952,67.61687302784469,-0.46221216180516933,0.4655050039291382,INT8 shorter
common_voice_de_18218496,"So wie Richard es sagt, klingt es total unglaubwürdig.","As Richard would say, it sounds totally unbelievable.","The way Richard says it, it sounds totally implausible.","As Richard says, it sounds totally unbelievable.",16,11,5,49.30462531116196,79.09539293535582,-29.790767624193855,0.5944887399673462,INT8 shorter
common_voice_de_18217164,Kann man heute in Essen mit Minustemperaturen rechnen?,Should we expect the temperature to drop below freezing in Essen today?,Is it possible to expect minus temperatures in food today?,Can you expect negative temperatures in food today?,14,11,3,32.51942514489984,31.779451626048328,0.7399735188515137,0.6358678936958313,INT8 shorter
common_voice_de_19965181,Polit-Kommissar war bei der Formierung des Bataillons Walter Knobloch.,Walter Knobloch was the political commissioner when the battalion was formed.,Polit-Kommissioner was involved in the formation of the battalion Walter Knobloch.,Political Commissioner was involved in the formation of the battalion Walter Knobloch.,24,19,5,52.37036193585357,55.61470346957772,-3.244341533724146,0.4196394383907318,INT8 shorter
common_voice_de_19766154,Et-Tell liegt nördlich des Sees Genezareth östlich der Mündung des Jordan in den See.,"Et-Tell lies in the lake north of the Lake of Galilee, east of the mouth of the Jordan.","Et-Tell is located north of Lake Genezareth, east of the mouth of the Jordan River into the lake.","Et-Tell is located north of Lake Genezareth, east of the mouth of the Jordan River.",27,24,3,60.879793474010825,55.71489552468238,5.1648979493284415,0.4228091835975647,INT8 shorter
common_voice_de_18232760,Seit langem wird das Schulfach Medienkompetenz gefordert.,The school subject media competence is demanded for a long time.,"For a long time, the subject of media literacy has been demanded.","For a long time, media literacy has been required.",16,13,3,44.45656544267803,29.38201134332393,15.074554099354096,0.6295936703681946,INT8 shorter
common_voice_de_19163615,Bereits vier Male fanden hier Kanurennsport-Weltmeisterschaften statt.,The world canoe championships were held here four times already.,There were already four canoe racing world championships here.,==References====External links==* Official website,13,10,3,48.13947977932263,8.233265761916648,39.90621401740598,0.762604832649231,INT8 shorter
common_voice_de_19453181,An den kommerziellen Erfolg der beiden ersten Veröffentlichungen konnte aber keiner mehr anknüpfen.,"However, the later publications never had the commercial success of the first two ones.","The commercial success of the first two publications, however, could not be followed by any more.",The commercial success of the first two publications was not followed by any more.,21,17,4,57.4725446769234,55.24316656433835,2.229378112585046,0.7445653676986694,INT8 shorter
common_voice_de_19551413,Das Landratsamt war in Langensalza.,The district administration was in Langensalza.,The Landratsamt was in Langensalza.,==References====External links==,14,8,6,50.47217441524118,5.363487634494941,45.10868678074624,0.5299493074417114,INT8 shorter
common_voice_de_18225322,"Mein Sohn, ich frage nicht nach dem Kaufpreis, sondern nach dem Wert!","Son, I'm not asking for the purchase price, I'm asking for the value!","My son, I'm not asking for the purchase price, I'm asking for the value!","My son, I don't ask for the purchase price, but for the value!",23,20,3,96.17486119348443,57.1743634465129,39.00049774697153,0.5067458152770996,INT8 shorter
common_voice_de_18283748,Mithilfe von Hochgeschwindigkeitskameras konnte man das scheinbare Paradoxon widerlegen.,"With the help of high-speed cameras, you could disprove the apparent paradox.","With the help of high-speed cameras, the apparent paradox could be refuted.",High-speed cameras were used to refute the apparent paradox.,19,15,4,74.50649501458014,48.20837130521406,26.29812370936608,0.4371950924396515,INT8 shorter
common_voice_de_19213352,Von den landwirtschaftlichen Betrieben widmet sich ein Großteil dem Weinbau.,Most of the agricultural companies focus on viniculture.,"Of the agricultural holdings, a large part is devoted to viticulture.",Most of the farms are dedicated to viticulture.,17,13,4,40.2418770592561,34.86127314166503,5.380603917591067,0.4851028025150299,INT8 shorter
common_voice_de_19168038,Im Berufsleben war Wood als Polizist tätig.,In the world of work Wood was active as a police offer.,Wood worked as a police officer in his professional life.,Wood worked as a police officer.,13,9,4,36.422074839916945,36.95338457743465,-0.5313097375177023,0.623253345489502,INT8 shorter
common_voice_de_18989129,Sarah kam als Frühchen genau fünfundvierzig Tage vor dem errechneten Termin auf die Welt.,Sarah was a premature infant and was born forty-five days before the estimated date.,Sarah was born as a premature child exactly forty-five days before the calculated date.,Sarah was born exactly forty - five days before the scheduled date.,19,15,4,65.68211066301456,51.715972955942604,13.966137707071951,0.5969420075416565,INT8 shorter
common_voice_de_19784306,"Sie erhebt sich, heute immer noch gut erkennbar, aus dem Schwemmland heraus.",Still clearly visible today it rises from the alluvial land.,"It rises, still well recognisable today, out of the floodplain.","It rises, still recognizable today, out of the floodplain.",19,15,4,27.021200223082815,26.471272903674347,0.549927319408468,0.7169350385665894,INT8 shorter
common_voice_de_18527121,"Noch mal von vorne, bitte.","Start from the beginning, please.","Again from the front, please.","Again, please.",9,6,3,47.42623296534346,30.393981543352165,17.032251421991294,0.8325154185295105,INT8 shorter
common_voice_de_19140169,"Von Beruf Jurist, beschäftigte er sich überwiegend mit Schach, das er als Siebenjähriger erlernte.","A lawyer by profession, he devoted most his time to chess, which he learned to play at the age of seven.","From a career as a lawyer, he mainly dealt with chess, which he learned as a seven-year-old.","From profession to profession, he mainly dealt with chess, which he learned when he was seven years old.",26,23,3,35.11279463914351,43.70227518369134,-8.589480544547833,0.5701692700386047,INT8 shorter
common_voice_de_17384372,"Es kommt daher, dass der Motor als Langhuber gebaut wird.",This is because the engine is built as a long-stroke engine.,It is due to the fact that the engine is built as a Langhuber.,It is because the engine is built as a long-huber.,19,16,3,44.56188252165798,68.97942380684702,-24.417541285189046,0.5184760093688965,INT8 shorter
common_voice_de_19614922,Er ist heute vor allem durch seine naturwissenschaftlichen und landeskundlichen Studien des Mittelmeerraums bekannt.,He is known today mainly for his scientific and regional studies of the Mediterranean region.,"Today, he is particularly well known for his scientific and country studies in the Mediterranean region.",It is known today mainly through its scientific and national studies of the Mediterranean.,20,17,3,60.14174358568523,69.67886327569207,-9.53711969000684,0.7195778489112854,INT8 shorter
common_voice_de_18473869,"Ich glaube, Sabrina ist absolut schwindelfrei.",I think Sabrina is absolutely free from giddiness.,I think Sabrina's absolutely free of vertigo.,I think Sabrina is absolutely dizzy.,15,12,3,55.63462723457522,60.78161494867825,-5.146987714103034,0.4560244679450989,INT8 shorter
common_voice_de_19616784,"Weltweit war er der letzte Verurteilte, der durch eine Guillotine enthauptet wurde.",He was the last convict worldwide who was beheaded by a guillotine.,He was the last convicted man in the world to be beheaded by a guillotine.,He was the last convicted man to be beheaded by a guillotine.,21,18,3,69.80895087245564,68.40428959740338,1.4046612750522627,0.506384015083313,INT8 shorter
common_voice_de_19151580,Siebenjährig stand sie erstmals auf Skiern.,"At age seven, she skied for the first time.",She started skiing at the age of seven.,==References====External links==,11,8,3,24.805059829053622,6.6119762214767,18.193083607576924,0.6281818747520447,INT8 shorter
common_voice_de_19999599,"Nachdem Wohlfahrts Karriere dem Ende zuging, wurde er sein Nachfolger bei den Violetten.","When Wohlfahrt’s career reached its end, his successor became a member of the Violets","After Wohlfahrt's career ended, he became his successor to the Violets.","After welfare's career ended, he became his successor to the Violets.",21,18,3,47.048991139370585,42.03584537594492,5.013145763425662,0.6584524512290955,INT8 shorter
common_voice_de_19490814,Darüber hinaus erkämpfte seine Mannschaft jeweils fünf Silber- und Bronzemedaillen bei Weltmeisterschaften.,"In addition, his team acquired five silver and five bronze medals in the world championships.","In addition, his team won five silver and bronze medals each at the World Championships.",His team also won five silver and bronze medals at the World Championships.,20,17,3,63.911560022125656,48.03075683547121,15.880803186654447,0.42331427335739136,INT8 shorter
common_voice_de_19162146,Doch am Ende können die Ungarn die Oberhand behalten.,"In the end, however, the Hungarians can get the upper hand.",But in the end the Hungarians can keep the upper hand.,But in the end the Hungarians can prevail.,15,12,3,61.73599829371571,42.05599138809466,19.68000690562105,0.5115528106689453,INT8 shorter
common_voice_de_19159103,Er vertrat den Wahlkreis Donauwörth im Parlament.,He represented the District of Donauwörth in the Parliament.,He represented the constituency of Donauwörth in parliament.,He represented Donauwörth in parliament.,15,12,3,65.1580068389815,54.166432133211906,10.991574705769601,0.41445571184158325,INT8 shorter
common_voice_de_17997606,Gestern hat er sich heimlich die Fibel gemopst.,Yesterday he secretly stole the primer.,"Yesterday, he secretly took the fibel.",Yesterday he secretly moped up the fibels.,11,14,-3,48.79782425746334,56.90699691472913,-8.109172657265788,1.1094297170639038,FP32 shorter
common_voice_de_19423007,Aus diesem Grund ist der Tourismus einer der Hauptwirtschaftszweige.,"For this reason, tourism is one of the main economic branches.",For this reason tourism is one of the main economic sectors.,"For this reason, tourism is one of the main sectors of the economy.",14,17,-3,77.0830075542008,74.80163854802188,2.2813690061789202,0.42171144485473633,FP32 shorter
common_voice_de_18833056,Damit ist ihr Schicksal besiegelt.,With this her fate is sealed.,Their fate is sealed.,That's how their fate is sealed.,7,11,-4,58.755337813187616,57.886833406797514,0.8685044063901017,0.770123302936554,FP32 shorter
common_voice_de_19614786,Seine internationale Karriere begann vielversprechend.,His international career began very promising.,His international career started promising.,His international career began in a promising way.,8,11,-3,69.55863093932648,76.29151828500319,-6.7328873456767155,0.503592312335968,FP32 shorter
common_voice_de_19008202,In dem Gedränge musste man quasi andere anrempeln.,"In the crowd, you basically had to jostle others.",In the crowd you had to bump into others.,"In the throttle, you had to bump into others.",12,15,-3,46.642964898468655,39.54383294329492,7.099131955173732,1.0828168392181396,FP32 shorter
common_voice_de_19761624,Bei diesen Verhandlungen sprachen bereits Langens Brüder Gustav und Jacob mit.,During those negotiations Langen’s brothers Gustav and Jacob already participated for long.,Langen's brothers Gustav and Jacob were already involved in these negotiations.,"In these negotiations, Langen's brothers Gustav and Jacob already spoke with each other.",17,20,-3,52.142835048885516,54.61264105894895,-2.4698060100634365,0.5193998217582703,FP32 shorter
common_voice_de_19131718,Sein wissenschaftliches Gesamtwerk hat ihn über die Fachgrenzen hinaus bekannt gemacht.,His scientific oeuvre has made him famous outside of his discipline.,His scientific work has made him known beyond the boundaries.,His scientific work has made him known beyond the limits of his field.,13,16,-3,38.751997091827135,44.75603632877451,-6.004039236947378,0.723377525806427,FP32 shorter
common_voice_de_18429351,Sie hat nur halb zugehört und sich dann über das Verstandene aufgeregt.,She only listened halfway and then got excited about what she understood.,She was just half-hearing and then excited about the mind.,She was just half-hearing and then excited about what was in her mind.,16,19,-3,35.57957515893485,41.48254882794401,-5.902973669009157,0.7690327167510986,FP32 shorter
common_voice_de_19630306,Zu vier Partien trat man aber in Kilmarnock an.,There were four matches played in Kilmarnock.,==References====External links==,Four games were played in Kilmarnock.,8,11,-3,8.773014144120433,55.81807245202971,-47.04505830790928,0.5160236358642578,FP32 shorter
common_voice_de_19037240,Zweimal übersprang der Überflieger eine Klasse und holte den Stoff binnen Wochen auf.,The straight-A student skipped a class twice and caught up within weeks.,"Twice, the overflyer passed a class and caught up with the substance within weeks.",Twice the high-flyer oversprung a class and caught up with the substance within weeks.,22,25,-3,51.10151471279132,49.7036691206985,1.3978455920928212,0.6151466965675354,FP32 shorter
common_voice_de_19708417,International kam er zu Einsätzen für die Jugendnationalmannschaft.,Internationally he played for the Youth national team.,==References====External links==*Official website,==References====External links==*BDFutbol profile,10,13,-3,10.024921270228695,10.817011927027952,-0.7920906567992567,0.7183237075805664,FP32 shorter
common_voice_de_17333207,Genau!,Exactly!,Exactly!,That's right!,4,7,-3,100.0,9.943181818181818,90.05681818181819,0.5478965044021606,FP32 shorter
common_voice_de_18743211,Gott sei Dank haben wir heute keine Termine.,"Thank god, we don’t have any appointments today.",Thank God we have no appointments today.,Thank God we don't have any appointments today.,11,14,-3,52.65018423120939,71.02189354236232,-18.371709311152934,0.4137921929359436,FP32 shorter
common_voice_de_20011654,"Damals trugen alle Lokomotiven Namen; diese wurde als ""Philadelphia"" bezeichnet.","Back then, all locomotives had names; this one was called “Philadelphia”.","At that time, all locomotives were called ""Philadelphia"".","At that time all locomotives had names; this was called ""Philadelphia"".",19,22,-3,42.564797178655326,65.61578042478403,-23.05098324612871,0.4765247106552124,FP32 shorter
common_voice_de_20011720,"Sobieski die Rechte von Piaseczno, es durften ab jetzt drei Jahrmärkte abgehalten werden.","Sobieski, Piaseczno’s rights. From then on, three fairs a year could take place.","Sobieski the rights of Piaseczno, from now on three fairs were held.","Sobieski the rights of Piaseczno, it was allowed to be held from now on three annual markets.",21,26,-5,38.36134259349158,32.6560972708512,5.70524532264038,0.4667348563671112,FP32 shorter
common_voice_de_19508248,Anschließend schloss er sich Stavanger Håndball an.,He then joined Stavanger Håndball.,==References====External links==,He joined Stavanger Håndball.,8,12,-4,7.964468650283753,80.22659923237444,-72.26213058209069,0.541263997554779,FP32 shorter
common_voice_de_19119471,Beispielsweise heißt der Militärflugplatz bei Rheine Heeresflugplatz Rheine-Bentlage.,"For example, the military airfield near Rheine is called Rheine-Bentlage.","For example, the military aerodrome near Rheine is called Rheine-Bentlage.","For example, the military airfield near Rheine Heeresflugplatz is called Rheine-Bentlage.",23,27,-4,85.41289028765162,92.06021344916437,-6.647323161512745,0.302883505821228,FP32 shorter
common_voice_de_20013869,Er ist damit der am häufigsten mit diesem Preis ausgezeichnete Filmschaffende.,That makes the movie-maker the record winner of this prize.,He is thus the most distinguished filmmaker.,He is thus the most successful filmmaker of this award.,10,13,-3,17.718182686027397,27.81433131324011,-10.096148627212713,0.9020779728889465,FP32 shorter
common_voice_de_19989775,Hier begann er sechsjährig mit dem Eiskunstlaufen.,He began figure skating at age six.,==References====External links==*Official website,Here he began to figure skating at the age of six.,10,14,-4,10.042198111675024,63.61117173284957,-53.56897362117455,0.7261267900466919,FP32 shorter
common_voice_de_19865491,Jedoch schied man bei allen sechs Play-off-Teilnahmen frühzeitig aus.,"However, in all six playoff appearances they were eliminated very early.",==References====External links==*Official website,==References====External links==*BDFutbol profile,10,13,-3,11.131639694977482,10.700604971083163,0.43103472389431907,0.7587829232215881,FP32 shorter
common_voice_de_18335303,Erschrocken machte Edgar einen Satz zur Seite.,"Frightened, Edgar jumped aside.",Fearfully Edgar made a sentence aside.,"Fearful, Edgar made a sentence to the side.",10,13,-3,30.543685811566533,30.65636765776064,-0.11268184619410704,0.8305718898773193,FP32 shorter
common_voice_de_18204487,Nicht nur reiche Kaufleute zieht es hierher.,It's not just rich merchants who come here.,Not only rich merchants are moving here.,It's not just rich merchants who pull it here.,11,15,-4,40.84419902362551,79.52758062823234,-38.683381604606836,0.6314969658851624,FP32 shorter
common_voice_de_18802834,Den Anweisungen des Bordpersonals ist Folge zu leisten.,The instructions of the flight crew should be followed.,The instructions of the crew shall be followed.,The instructions of the on-board personnel shall be followed.,11,14,-3,68.92251750501727,60.58460981485033,8.337907690166936,0.5661510825157166,FP32 shorter
common_voice_de_18199983,"Ob unsere Bemühungen von Erfolg gekrönt sein werden, ist freilich ungewiss.","If our efforts will be crowned by success, remains unknown of course.",Whether our efforts will be crowned with success is certainly uncertain.,"Whether our efforts will be crowned with success is, of course, uncertain.",15,18,-3,47.724631490099,57.26786553892301,-9.543234048824011,0.4718453586101532,FP32 shorter
common_voice_de_19317920,"Es folgten anschließend Aufnahmen weiterer Hauptwerke Beethovens, Brahms', Chopins und vor allem Schumanns.","Recordings of further major works by Beethoven, Brahms, Chopin and foremost Schumann followed.","It was followed by recordings of other major works by Beethoven, Brahms, Chopin and especially Schumann.","It was followed by recordings of other major works by Beethoven, Brahms, Chopin and, above all, Schumann.",24,27,-3,72.00793815740806,71.68446701499396,0.3234711424141068,0.38451606035232544,FP32 shorter
common_voice_de_18224586,"Der jedoch keiner ist, weil ihm das Prädikat fehlt, korrigiert mich der Besserwisser.","That is not one though because it lacks the predicate, the know-it-all corrects me.","But nobody is, because he lacks the predicate, corrects me the wiser.","But no one is, because he lacks the predicate, corrects me the better-knower.",21,24,-3,46.952412331989414,49.77085667083803,-2.8184443388486144,0.6493209600448608,FP32 shorter
common_voice_de_19840010,Der Sitz der Bundesarbeitsgemeinschaft ist Berlin.,The seat of the Federal Association is Berlin.,The seat of the Federal Working Community is Berlin.,The seat of the Bundesarbeitsgemeinschaft is Berlin.,12,16,-4,67.99600994154586,54.21270822437915,13.783301717166715,0.3451142907142639,FP32 shorter
common_voice_de_18211046,"Veronika erwartet vom Verein, dass er sich ganz klar distanziert.",Veronika expects the club to clearly distance itself from him.,Veronika expects the club to clearly distance himself.,Veronica expects the club to dissociate himself clearly.,13,16,-3,76.93489128636793,52.00465705680902,24.930234229558906,0.5473811030387878,FP32 shorter
common_voice_de_19752914,Zugleich wurde auch der Ortsteil Malý Lísek in Lísek umbenannt.,At the same time the district Malý Lísek was renamed to Lísek.,"At the same time, Malý Lísek was renamed Lísek.","At the same time, the village of Malý Lísek was renamed Lísek.",18,21,-3,66.8649355150515,66.52565378660708,0.3392817284444192,0.38299381732940674,FP32 shorter
common_voice_de_17417202,"""Sie werden doch nicht etwa"", setzte ich zum Protest an, doch es war bereits zu spät.","You wouldn’t dare to, I started protesting, but is was already too late.","""They won't,"" I started to protest, but it was already too late.","""You're not going to be,"" I started to protest, but it was already too late.",20,23,-3,52.16671332355667,52.99735831787128,-0.8306449943146106,0.4897533357143402,FP32 shorter
common_voice_de_19500286,"Auf den restlichen Flächen wächst Wald, der oft mit sumpfigen Stellen durchsetzt ist.","The remaining areas are covered by forest, which is often interspersed with swamps.","Forest grows on the rest of the land, which is often swampy.","Forest grows on the rest of the land, which is often covered with swampy areas.",17,20,-3,30.474962269864296,44.65987479631177,-14.184912526447473,0.6145601868629456,FP32 shorter
common_voice_de_18822923,Das habe ich zu Fuß einmal quer durch die Lüneburger Heide gezogen.,I once walked across the Lüneburger Heide by foot.,I once walked across the Lüneburg Heath.,I once did this on foot across the Lüneburg Heath.,13,16,-3,65.59445318966849,48.387838548099815,17.20661464156867,0.4475374221801758,FP32 shorter
common_voice_de_18206560,Einmal erworbene Kurzsichtigkeit wird man nicht wieder los.,"Once you have nearsightedness, you cannot get rid of it.",Once acquired shortsightedness is not released again.,Once acquired shortsightedness you will not get rid of again.,12,15,-3,26.455997645380368,44.461568860527514,-18.005571215147146,0.6706821322441101,FP32 shorter
common_voice_de_17625625,"Manuela macht keinen Hehl daraus, dass sie von dem Kompromiss nicht viel hält.",Manuela makes it no secret that she does not think much of the compromise.,Manuela makes no secret that she doesn't think much of the compromise.,Manuela doesn't hide the fact that she doesn't think much of the compromise.,18,21,-3,84.05611670669543,64.21318592940227,19.842930777293162,0.4200406074523926,FP32 shorter
common_voice_de_19665564,Werner Franz gewann einmal die Disziplinenwertung in der Kombination.,Werner Franz once won the discipline ranking in the combination.,Werner Franz once won the discipline classification in the combination.,Werner Franz once won the Discipline Ranking in the Combination.,13,16,-3,81.812707917074,75.08647453791738,6.726233379156611,0.519545316696167,FP32 shorter
common_voice_de_18410463,"Jetzt schreit wieder einer der Jungs im Schlaf, da schrecke ich ewig zusammen.","Now another one of the boys cries out in his sleep, it always startles me.","Now one of the boys is screaming in my sleep, and I'm always scared.","Now, again, one of the boys is screaming in his sleep, and I'm always terrified.",20,24,-4,40.27441719742949,46.36231719271576,-6.087899995286264,0.8780509829521179,FP32 shorter
common_voice_de_19578328,Sie galt neben Tamira Paszek als große Nachwuchshoffnung im österreichischen Tennis.,"Together with Tamira Paszek, she was regarded as a great hope for young tennis talents in Austria.",==References====External links==* Official website* Official website,She was considered a great hope in Austrian tennis alongside Tamira Paszek.,13,17,-4,7.053955938064958,42.03250334373305,-34.97854740566809,0.5213143229484558,FP32 shorter
