sample_id,source_text,reference_translation,fp32_translation,int8_translation,fp32_output_tokens,int8_output_tokens,delta_output_tokens,fp32_chrf,int8_chrf,delta_chrf,seq_loss_hyp
common_voice_de_19777149,Titelverteidigerin Venus Williams gewann das Dameneinzel.,Defending champion Venus Williams won the women’s singles.,Venus Williams won the women's single.,Venus Williams won the single.,11,8,3,55.78809158467335,47.44712182651775,8.340969758155602,0.642206609249115
common_voice_de_19697224,Das Doppel konnten Wesley Moodie und Todd Perry für sich entscheiden.,Wesley Moodie and Todd Perry were the winners of the doubles.,Wesley Moodie and Todd Perry were able to win the double.,Wesley Moodie and Todd Perry won the double.,18,15,3,66.9787090438882,60.71448228961523,6.264226754272968,0.5648683905601501
common_voice_de_18364890,Das Bewässerungssystem darf maximal eine Woche lang ausfallen.,The irrigation system failure should maximally last a week.,The irrigation system may fail for a maximum of one week.,The irrigation system may not exceed one week.,14,11,3,49.40209650533281,43.73964431879581,5.662452186536996,0.5003932118415833
common_voice_de_19740991,An ihn erinnert in Düsseldorf heute noch die „Gustav-Poensgen-Straße“.,Also the ‘‘Gustav-Poensgen Street’’ in Düsseldorf reminds of him.,"In Düsseldorf, the ""Gustav-Poensgen-Straße"" still reminds of him.",==References====External links==* Official website,25,10,15,58.19789487945697,6.3762638965110146,51.821630982945955,0.7459821701049805
common_voice_de_20000920,Die südlichen Kreise Ostwestfalens liegen im Bezirk des Landgerichts Paderborn.,The southern districts of East Westphalia are under the jurisdiction of the district court of Paderborn.,The southern districts of East Westphalia are located in the district of the Paderborn District Court.,The southern districts of East Westphalia are located in the district of Paderborn.,22,19,3,67.15466086603952,67.61687302784469,-0.46221216180516933,0.4655050039291382
common_voice_de_18218496,"So wie Richard es sagt, klingt es total unglaubwürdig.","As Richard would say, it sounds totally unbelievable.","The way Richard says it, it sounds totally implausible.","As Richard says, it sounds totally unbelievable.",16,11,5,49.30462531116196,79.09539293535582,-29.790767624193855,0.5944887399673462
common_voice_de_18217164,Kann man heute in Essen mit Minustemperaturen rechnen?,Should we expect the temperature to drop below freezing in Essen today?,Is it possible to expect minus temperatures in food today?,Can you expect negative temperatures in food today?,14,11,3,32.51942514489984,31.779451626048328,0.7399735188515137,0.6358678936958313
common_voice_de_19965181,Polit-Kommissar war bei der Formierung des Bataillons Walter Knobloch.,Walter Knobloch was the political commissioner when the battalion was formed.,Polit-Kommissioner was involved in the formation of the battalion Walter Knobloch.,Political Commissioner was involved in the formation of the battalion Walter Knobloch.,24,19,5,52.37036193585357,55.61470346957772,-3.244341533724146,0.4196394383907318
common_voice_de_19766154,Et-Tell liegt nördlich des Sees Genezareth östlich der Mündung des Jordan in den See.,"Et-Tell lies in the lake north of the Lake of Galilee, east of the mouth of the Jordan.","Et-Tell is located north of Lake Genezareth, east of the mouth of the Jordan River into the lake.","Et-Tell is located north of Lake Genezareth, east of the mouth of the Jordan River.",27,24,3,60.879793474010825,55.71489552468238,5.1648979493284415,0.4228091835975647
common_voice_de_18232760,Seit langem wird das Schulfach Medienkompetenz gefordert.,The school subject media competence is demanded for a long time.,"For a long time, the subject of media literacy has been demanded.","For a long time, media literacy has been required.",16,13,3,44.45656544267803,29.38201134332393,15.074554099354096,0.6295936703681946
common_voice_de_19163615,Bereits vier Male fanden hier Kanurennsport-Weltmeisterschaften statt.,The world canoe championships were held here four times already.,There were already four canoe racing world championships here.,==References====External links==* Official website,13,10,3,48.13947977932263,8.233265761916648,39.90621401740598,0.762604832649231
common_voice_de_19453181,An den kommerziellen Erfolg der beiden ersten Veröffentlichungen konnte aber keiner mehr anknüpfen.,"However, the later publications never had the commercial success of the first two ones.","The commercial success of the first two publications, however, could not be followed by any more.",The commercial success of the first two publications was not followed by any more.,21,17,4,57.4725446769234,55.24316656433835,2.229378112585046,0.7445653676986694
common_voice_de_19551413,Das Landratsamt war in Langensalza.,The district administration was in Langensalza.,The Landratsamt was in Langensalza.,==References====External links==,14,8,6,50.47217441524118,5.363487634494941,45.10868678074624,0.5299493074417114
common_voice_de_18225322,"Mein Sohn, ich frage nicht nach dem Kaufpreis, sondern nach dem Wert!","Son, I'm not asking for the purchase price, I'm asking for the value!","My son, I'm not asking for the purchase price, I'm asking for the value!","My son, I don't ask for the purchase price, but for the value!",23,20,3,96.17486119348443,57.1743634465129,39.00049774697153,0.5067458152770996
common_voice_de_18283748,Mithilfe von Hochgeschwindigkeitskameras konnte man das scheinbare Paradoxon widerlegen.,"With the help of high-speed cameras, you could disprove the apparent paradox.","With the help of high-speed cameras, the apparent paradox could be refuted.",High-speed cameras were used to refute the apparent paradox.,19,15,4,74.50649501458014,48.20837130521406,26.29812370936608,0.4371950924396515
common_voice_de_19213352,Von den landwirtschaftlichen Betrieben widmet sich ein Großteil dem Weinbau.,Most of the agricultural companies focus on viniculture.,"Of the agricultural holdings, a large part is devoted to viticulture.",Most of the farms are dedicated to viticulture.,17,13,4,40.2418770592561,34.86127314166503,5.380603917591067,0.4851028025150299
common_voice_de_19168038,Im Berufsleben war Wood als Polizist tätig.,In the world of work Wood was active as a police offer.,Wood worked as a police officer in his professional life.,Wood worked as a police officer.,13,9,4,36.422074839916945,36.95338457743465,-0.5313097375177023,0.623253345489502
common_voice_de_18989129,Sarah kam als Frühchen genau fünfundvierzig Tage vor dem errechneten Termin auf die Welt.,Sarah was a premature infant and was born forty-five days before the estimated date.,Sarah was born as a premature child exactly forty-five days before the calculated date.,Sarah was born exactly forty - five days before the scheduled date.,19,15,4,65.68211066301456,51.715972955942604,13.966137707071951,0.5969420075416565
common_voice_de_19784306,"Sie erhebt sich, heute immer noch gut erkennbar, aus dem Schwemmland heraus.",Still clearly visible today it rises from the alluvial land.,"It rises, still well recognisable today, out of the floodplain.","It rises, still recognizable today, out of the floodplain.",19,15,4,27.021200223082815,26.471272903674347,0.549927319408468,0.7169350385665894
common_voice_de_18527121,"Noch mal von vorne, bitte.","Start from the beginning, please.","Again from the front, please.","Again, please.",9,6,3,47.42623296534346,30.393981543352165,17.032251421991294,0.8325154185295105
common_voice_de_19140169,"Von Beruf Jurist, beschäftigte er sich überwiegend mit Schach, das er als Siebenjähriger erlernte.","A lawyer by profession, he devoted most his time to chess, which he learned to play at the age of seven.","From a career as a lawyer, he mainly dealt with chess, which he learned as a seven-year-old.","From profession to profession, he mainly dealt with chess, which he learned when he was seven years old.",26,23,3,35.11279463914351,43.70227518369134,-8.589480544547833,0.5701692700386047
common_voice_de_17384372,"Es kommt daher, dass der Motor als Langhuber gebaut wird.",This is because the engine is built as a long-stroke engine.,It is due to the fact that the engine is built as a Langhuber.,It is because the engine is built as a long-huber.,19,16,3,44.56188252165798,68.97942380684702,-24.417541285189046,0.5184760093688965
common_voice_de_19614922,Er ist heute vor allem durch seine naturwissenschaftlichen und landeskundlichen Studien des Mittelmeerraums bekannt.,He is known today mainly for his scientific and regional studies of the Mediterranean region.,"Today, he is particularly well known for his scientific and country studies in the Mediterranean region.",It is known today mainly through its scientific and national studies of the Mediterranean.,20,17,3,60.14174358568523,69.67886327569207,-9.53711969000684,0.7195778489112854
common_voice_de_18473869,"Ich glaube, Sabrina ist absolut schwindelfrei.",I think Sabrina is absolutely free from giddiness.,I think Sabrina's absolutely free of vertigo.,I think Sabrina is absolutely dizzy.,15,12,3,55.63462723457522,60.78161494867825,-5.146987714103034,0.4560244679450989
common_voice_de_19616784,"Weltweit war er der letzte Verurteilte, der durch eine Guillotine enthauptet wurde.",He was the last convict worldwide who was beheaded by a guillotine.,He was the last convicted man in the world to be beheaded by a guillotine.,He was the last convicted man to be beheaded by a guillotine.,21,18,3,69.80895087245564,68.40428959740338,1.4046612750522627,0.506384015083313
common_voice_de_19151580,Siebenjährig stand sie erstmals auf Skiern.,"At age seven, she skied for the first time.",She started skiing at the age of seven.,==References====External links==,11,8,3,24.805059829053622,6.6119762214767,18.193083607576924,0.6281818747520447
common_voice_de_19999599,"Nachdem Wohlfahrts Karriere dem Ende zuging, wurde er sein Nachfolger bei den Violetten.","When Wohlfahrt’s career reached its end, his successor became a member of the Violets","After Wohlfahrt's career ended, he became his successor to the Violets.","After welfare's career ended, he became his successor to the Violets.",21,18,3,47.048991139370585,42.03584537594492,5.013145763425662,0.6584524512290955
common_voice_de_19490814,Darüber hinaus erkämpfte seine Mannschaft jeweils fünf Silber- und Bronzemedaillen bei Weltmeisterschaften.,"In addition, his team acquired five silver and five bronze medals in the world championships.","In addition, his team won five silver and bronze medals each at the World Championships.",His team also won five silver and bronze medals at the World Championships.,20,17,3,63.911560022125656,48.03075683547121,15.880803186654447,0.42331427335739136
common_voice_de_19162146,Doch am Ende können die Ungarn die Oberhand behalten.,"In the end, however, the Hungarians can get the upper hand.",But in the end the Hungarians can keep the upper hand.,But in the end the Hungarians can prevail.,15,12,3,61.73599829371571,42.05599138809466,19.68000690562105,0.5115528106689453
common_voice_de_19159103,Er vertrat den Wahlkreis Donauwörth im Parlament.,He represented the District of Donauwörth in the Parliament.,He represented the constituency of Donauwörth in parliament.,He represented Donauwörth in parliament.,15,12,3,65.1580068389815,54.166432133211906,10.991574705769601,0.41445571184158325
